名前,住所
千代田区役所, 東京都千代田区九段南1-2-1
麹町区民館, 東京都千代田区麹町2-8
和泉橋区民館, 東京都千代田区神田佐久間町1-11-7
中央区役所, 東京都中央区築地1-1-1
日本橋特別出張所, 東京都中央区日本橋蛎殻町1-31-1
月島特別出張所, 東京都中央区月島4-1-1
晴海特別出張所, 東京都中央区晴海4-8-1
銀座三越, 東京都中央区銀座4-6-16
芝地区総合支所（港区役所）, 東京都港区芝公園1-5-25
麻布地区総合支所, 東京都港区六本木5-16-45
赤坂地区総合支所, 東京都港区赤坂4-18-13
高輪区民センター, 東京都港区高輪1-16-25
芝浦港南地区総合支所, 東京都港区芝浦1-16-1
台場分室, 東京都港区台場1-5-1
さんぽーと港南, 東京都港区港南4-3-7
新宿区役所第一分庁舎, 東京都新宿区歌舞伎町1-5-1
四谷特別出張所, 東京都新宿区内藤町87
箪笥町特別出張所, 東京都新宿区箪笥町15
榎町特別出張所, 東京都新宿区早稲田町85
若松町特別出張所, 東京都新宿区若松町12-6
大久保特別出張所, 東京都新宿区大久保2-12-7
戸塚特別出張所, 東京都新宿区高田馬場2-18-1
落合第一特別出張所, 東京都新宿区下落合4-6-7
落合第二特別出張所, 東京都新宿区中落合4-17-13
柏木特別出張所, 東京都新宿区北新宿2-3-7
角筈特別出張所, 東京都新宿区西新宿4-33-7
文京シビックセンター１階　ギャラリーシビック, 東京都文京区春日1-16-21
大原地域活動センター, 東京都文京区千石1-4-3
音羽地域活動センター, 東京都文京区音羽1-22-14
汐見地域センター, 東京都文京区千駄木3-2-6
台東区役所, 東京都台東区東上野4-5-6
谷中区民館, 東京都台東区谷中5-6-5
浅草橋区民館, 東京都台東区浅草橋2-8-7
台東リバーサイドスポーツセンター体育館, 東京都台東区今戸1-1-10
生涯学習センター, 東京都台東区西浅草3-25-16
金杉区民館, 東京都台東区下谷3-1-30
墨田区役所１２階１２２会議室, 東京都墨田区吾妻橋1-23-20
