WKT,名前,説明,列４,住所
"POINT (139.0 35.0)", "千代田区役所", "説明", "千代田区", "東京都千代田区九段南1-2-1"
"POINT (139.0 35.0)", "麹町区民館", "説明", "千代田区", "東京都千代田区麹町2-8"
"POINT (139.0 35.0)", "和泉橋区民館", "説明", "千代田区", "東京都千代田区神田佐久間町1-11-7"
"POINT (139.0 35.0)", "中央区役所", "説明", "中央区", "東京都中央区築地1-1-1"
"POINT (139.0 35.0)", "日本橋特別出張所", "説明", "中央区", "東京都中央区日本橋蛎殻町1-31-1"
"POINT (139.0 35.0)", "月島特別出張所", "説明", "中央区", "東京都中央区月島4-1-1"
"POINT (139.0 35.0)", "晴海特別出張所", "説明", "中央区", "東京都中央区晴海4-8-1"
"POINT (139.0 35.0)", "銀座三越", "説明", "中央区", "東京都中央区銀座4-6-16"
"POINT (139.0 35.0)", "芝地区総合支所（港区役所）", "説明", "港区", "東京都港区芝公園1-5-25"
"POINT (139.0 35.0)", "麻布地区総合支所", "説明", "港区", "東京都港区六本木5-16-45"
"POINT (139.0 35.0)", "赤坂地区総合支所", "説明", "港区", "東京都港区赤坂4-18-13"
"POINT (139.0 35.0)", "高輪区民センター", "説明", "港区", "東京都港区高輪1-16-25"
"POINT (139.0 35.0)", "芝浦港南地区総合支所", "説明", "港区", "東京都港区芝浦1-16-1"
"POINT (139.0 35.0)", "台場分室", "説明", "港区", "東京都港区台場1-5-1"
"POINT (139.0 35.0)", "さんぽーと港南", "説明", "港区", "東京都港区港南4-3-7"
"POINT (139.0 35.0)", "新宿区役所第一分庁舎", "説明", "新宿区", "東京都新宿区歌舞伎町1-5-1"
"POINT (139.0 35.0)", "四谷特別出張所", "説明", "新宿区", "東京都新宿区内藤町87"
"POINT (139.0 35.0)", "箪笥町特別出張所", "説明", "新宿区", "東京都新宿区箪笥町15"
"POINT (139.0 35.0)", "榎町特別出張所", "説明", "新宿区", "東京都新宿区早稲田町85"
"POINT (139.0 35.0)", "若松町特別出張所", "説明", "新宿区", "東京都新宿区若松町12-6"
"POINT (139.0 35.0)", "大久保特別出張所", "説明", "新宿区", "東京都新宿区大久保2-12-7"
"POINT (139.0 35.0)", "戸塚特別出張所", "説明", "新宿区", "東京都新宿区高田馬場2-18-1"
"POINT (139.0 35.0)", "落合第一特別出張所", "説明", "新宿区", "東京都新宿区下落合4-6-7"
"POINT (139.0 35.0)", "落合第二特別出張所", "説明", "新宿区", "東京都新宿区中落合4-17-13"
"POINT (139.0 35.0)", "柏木特別出張所", "説明", "新宿区", "東京都新宿区北新宿2-3-7"
"POINT (139.0 35.0)", "角筈特別出張所", "説明", "新宿区", "東京都新宿区西新宿4-33-7"
"POINT (139.0 35.0)", "文京シビックセンター１階　ギャラリーシビック", "説明", "文京区", "東京都文京区春日1-16-21"
"POINT (139.0 35.0)", "大原地域活動センター", "説明", "文京区", "東京都文京区千石1-4-3"
"POINT (139.0 35.0)", "音羽地域活動センター", "説明", "文京区", "東京都文京区音羽1-22-14"
"POINT (139.0 35.0)", "汐見地域センター", "説明", "文京区", "東京都文京区千駄木3-2-6"
"POINT (139.0 35.0)", "台東区役所", "説明", "台東区", "東京都台東区東上野4-5-6"
"POINT (139.0 35.0)", "谷中区民館", "説明", "台東区", "東京都台東区谷中5-6-5"
"POINT (139.0 35.0)", "浅草橋区民館", "説明", "台東区", "東京都台東区浅草橋2-8-7"
"POINT (139.0 35.0)", "台東リバーサイドスポーツセンター体育館", "説明", "台東区", "東京都台東区今戸1-1-10"
"POINT (139.0 35.0)", "生涯学習センター", "説明", "台東区", "東京都台東区西浅草3-25-16"
"POINT (139.0 35.0)", "金杉区民館", "説明", "台東区", "東京都台東区下谷3-1-30"
