住所,施設名
東京都千代田区九段南1-2-1,千代田区役所
東京都千代田区麹町2-8,麹町区民館
東京都千代田区神田佐久間町1-11-7,和泉橋区民館
東京都中央区築地1-1-1,中央区役所
東京都中央区日本橋蛎殻町1-31-1,日本橋特別出張所
東京都中央区月島4-1-1,月島特別出張所
東京都中央区晴海4-8-1,晴海特別出張所
東京都中央区銀座4-6-16,銀座三越
東京都港区芝公園1-5-25,芝地区総合支所（港区役所）
東京都港区六本木5-16-45,麻布地区総合支所
東京都港区赤坂4-18-13,赤坂地区総合支所
東京都港区高輪1-16-25,高輪区民センター
東京都港区芝浦1-16-1,芝浦港南地区総合支所
東京都港区台場1-5-1,台場分室
東京都港区港南4-3-7,さんぽーと港南
東京都新宿区歌舞伎町1-5-1,新宿区役所第一分庁舎
東京都新宿区内藤町87,四谷特別出張所
東京都新宿区箪笥町15,箪笥町特別出張所
東京都新宿区早稲田町85,榎町特別出張所
東京都新宿区若松町12-6,若松町特別出張所
東京都新宿区大久保2-12-7,大久保特別出張所
東京都新宿区高田馬場2-18-1,戸塚特別出張所
東京都新宿区下落合4-6-7,落合第一特別出張所
東京都新宿区中落合4-17-13,落合第二特別出張所
東京都新宿区北新宿2-3-7,柏木特別出張所
東京都新宿区西新宿4-33-7,角筈特別出張所
東京都文京区春日1-16-21,文京シビックセンター１階　ギャラリーシビック
東京都文京区千石1-4-3,大原地域活動センター
東京都文京区音羽1-22-14,音羽地域活動センター
東京都文京区千駄木3-2-6,汐見地域センター
東京都台東区東上野4-5-6,台東区役所
東京都台東区谷中5-6-5,谷中区民館
東京都台東区浅草橋2-8-7,浅草橋区民館
東京都台東区今戸1-1-10,台東リバーサイドスポーツセンター体育館
東京都台東区西浅草3-25-16,生涯学習センター
東京都台東区下谷3-1-30,金杉区民館
東京都墨田区吾妻橋1-23-20,墨田区役所１２階１２２会議室
東京都墨田区錦糸4-15-1,ひがしんアリーナ（墨田区総合体育館）２階会議室Ａ
東京都墨田区東向島2-38-7,すみだ生涯学習センター１階リハーサル室
東京都墨田区緑3-7-3,みどりコミュニティセンター２階会議室
東京都墨田区文花1-19-1,千葉大学墨田サテライトキャンパス１階ＵＤＣすみだ事務室
東京都江東区東陽4-11-28,江東区役所
東京都江東区森下3-12-17,森下文化センター
東京都江東区富岡1-16-12,富岡区民館
東京都江東区豊洲2-2-18,豊洲シビックセンター
東京都江東区扇橋2-1-5,小松橋区民館
東京都江東区亀戸2-19-1,カメリアプラザ
東京都江東区大島4-5-1,総合区民センター
東京都江東区北砂4-7-3,砂町区民館
東京都江東区南砂6-8-3,南砂区民館
東京都品川区広町2-1-36,品川区役所第二庁舎
東京都品川区北品川3-11-16,品川第一地域センター
東京都品川区南品川5-3-20,品川第二地域センター
東京都品川区西五反田3-6-3,大崎第一地域センター
東京都品川区大崎2-9-4,大崎第二地域センター
東京都品川区南大井1-12-6,大井第一地域センター
