投票区番号,住所,施設名
1,東京都あきる野市野辺１２６番地４ 野辺地区会館,野辺地区会館
2,東京都あきる野市平沢３００番地２ 農業会館,農業会館
3,東京都あきる野市草花２５７２番地 多西児童館,多西児童館
4,東京都あきる野市菅生５８２番地 菅生交流会館,菅生交流会館
5,東京都あきる野市上代継３０３番地５ 若葉児童館,若葉児童館
6,東京都あきる野市油平９２番地７ 油平クラブハウス,油平クラブハウス
7,東京都あきる野市雨間９９９番地２ 鳥居場会館,鳥居場会館
8,東京都あきる野市小川６３８番地１ 小川会館,小川会館
9,東京都あきる野市草花１３２７番地１ 草花台会館,草花台会館
10,東京都あきる野市引田５１２番地２ 楓ケ原会館,楓ケ原会館
11,東京都あきる野市二宮３５０番地 あきる野市役所,あきる野市役所
12,東京都あきる野市山田８８３番地１ 山田会館,山田会館
13,東京都あきる野市伊奈１１７３番地 増戸小学校屋内運動場,増戸小学校屋内運動場
14,東京都あきる野市伊奈８５９番地３ 五日市ファインプラザ,五日市ファインプラザ
15,東京都あきる野市五日市４１４番地５ 五日市保健センター,五日市保健センター
16,東京都あきる野市五日市３１５番地 五日市小学校東裏校舎,五日市小学校東裏校舎
17,東京都あきる野市留原１５５番地 留原自治会館,留原自治会館
18,東京都あきる野市舘谷７６番地 下舘谷自治会館,下舘谷自治会館
19,東京都あきる野市戸倉１３３番地４ 戸倉会館,戸倉会館
20,東京都あきる野市乙津７２４番地６ 乙津自治会館,乙津自治会館
21,東京都あきる野市乙津１９９７番地 小宮会館,小宮会館
22,東京都あきる野市養沢１５０番地 養沢会館,養沢会館
23,東京都あきる野市雨間１９４６番地 いきいきセンター,いきいきセンター
