投票区番号,住所,施設名
1,東京都昭島市東町2-2-18 市立東小学校,市立東小学校
2,東京都昭島市中神町1282 市立富士見会館,市立富士見会館
3,東京都昭島市玉川町3-10-15 市立玉川会館,市立玉川会館
4,東京都昭島市福島町1-19-1 市立福島会館,市立福島会館
5,東京都昭島市中神町1136-16 土地区画整理事務所,土地区画整理事務所
6,東京都昭島市朝日町5-8-5 市立中神小学校,市立中神小学校
7,東京都昭島市中神町2-32-18 シルバー人材センター,シルバー人材センター
8,東京都昭島市美堀町3-8-1 環境コミュニケーションセンター,環境コミュニケーションセンター
9,東京都昭島市昭和町1-6-11 昭和町分室,昭和町分室
11,東京都昭島市緑町2-2-12 市立拝島中学校,市立拝島中学校
12,東京都昭島市拝島町1-14-14 市立拝島第一学童クラブ,市立拝島第一学童クラブ
13,東京都昭島市松原町3-12-15 市立拝島第三小学校,市立拝島第三小学校
14,東京都昭島市拝島町2-4-13 市立拝島会館,市立拝島会館
15,東京都昭島市拝島町3-10-3 市立やまのかみ会館,市立やまのかみ会館
16,東京都昭島市玉川町1-7-2 東中神団地集会所,東中神団地集会所
17,東京都昭島市武蔵野2-3-2 市立武蔵野学童クラブ,市立武蔵野学童クラブ
18,東京都昭島市松原町1-2-25 市立昭和会館,市立昭和会館
19,東京都昭島市田中町3-4-1 市立田中小学校,市立田中小学校
20,東京都昭島市つつじが丘2-2-6 市立瑞雲中学校,市立瑞雲中学校
