投票区番号,施設名,住所,ライセンス
1,市立第八中学校,東京都府中市四谷1-2827,「CC-BY（表示）」府中市のデータを使用しています
2,四谷文化センタ－,東京都府中市四谷2-75,「CC-BY（表示）」府中市のデータを使用しています
3,西府文化センタ－,東京都府中市西府町1-60,「CC-BY（表示）」府中市のデータを使用しています
4,市立第七小学校,東京都府中市北山町2-23,「CC-BY（表示）」府中市のデータを使用しています
5,千春保育園,東京都府中市武蔵台3-9,「CC-BY（表示）」府中市のデータを使用しています
6,武蔵台文化センタ－,東京都府中市武蔵台2-2,「CC-BY（表示）」府中市のデータを使用しています
7,市立第四中学校,東京都府中市美好町2-13,「CC-BY（表示）」府中市のデータを使用しています
8,市立第三中学校,東京都府中市本町4-16,「CC-BY（表示）」府中市のデータを使用しています
9,住吉文化センタ－,東京都府中市住吉町1-61,「CC-BY（表示）」府中市のデータを使用しています
10,市立住吉小学校,東京都府中市住吉町2-30,「CC-BY（表示）」府中市のデータを使用しています
11,市立南町小学校,東京都府中市南町3-6,「CC-BY（表示）」府中市のデータを使用しています
12,市立第三小学校,東京都府中市片町3-5,「CC-BY（表示）」府中市のデータを使用しています
13,日鋼団地集会所,東京都府中市日鋼町1-3,「CC-BY（表示）」府中市のデータを使用しています
14,市立第九小学校,東京都府中市栄町3-7,「CC-BY（表示）」府中市のデータを使用しています
15,府中グリーンハイツ集会所,東京都府中市晴見町1-28,「CC-BY（表示）」府中市のデータを使用しています
16,市立第一小学校,東京都府中市寿町2-6,「CC-BY（表示）」府中市のデータを使用しています
17,府中市役所,東京都府中市宮西町2-24,「CC-BY（表示）」府中市のデータを使用しています
18,市立矢崎小学校,東京都府中市矢崎町4-9,「CC-BY（表示）」府中市のデータを使用しています
19,中央文化センター,東京都府中市府中町2-25,「CC-BY（表示）」府中市のデータを使用しています
20,市立第一中学校,東京都府中市幸町1-22,「CC-BY（表示）」府中市のデータを使用しています
21,市立新町小学校,東京都府中市新町1-25,「CC-BY（表示）」府中市のデータを使用しています
22,市立第五中学校,東京都府中市新町2-44,「CC-BY（表示）」府中市のデータを使用しています
23,市立第六小学校,東京都府中市天神町4-14,「CC-BY（表示）」府中市のデータを使用しています
24,市立第二小学校,東京都府中市緑町1-29,「CC-BY（表示）」府中市のデータを使用しています
25,宮町公会堂,東京都府中市宮町3-17,「CC-BY（表示）」府中市のデータを使用しています
26,是政公会堂,東京都府中市是政3-20,「CC-BY（表示）」府中市のデータを使用しています
27,是政文化センタ－,東京都府中市是政2-20,「CC-BY（表示）」府中市のデータを使用しています
28,清水が丘公会堂,東京都府中市清水が丘2-7,「CC-BY（表示）」府中市のデータを使用しています
29,清水が丘三丁目公会堂,東京都府中市清水が丘3-6,「CC-BY（表示）」府中市のデータを使用しています
30,市立若松小学校,東京都府中市若松町3-11,「CC-BY（表示）」府中市のデータを使用しています
31,紅葉丘文化センタ－,東京都府中市紅葉丘2-1,「CC-BY（表示）」府中市のデータを使用しています
32,白糸台文化センタ－,東京都府中市白糸台1-60,「CC-BY（表示）」府中市のデータを使用しています
33,市立第二中学校,東京都府中市紅葉丘1-23,「CC-BY（表示）」府中市のデータを使用しています
34,武蔵野学園,東京都府中市多磨町1-19,「CC-BY（表示）」府中市のデータを使用しています
35,市立白糸台小学校,東京都府中市白糸台2-16,「CC-BY（表示）」府中市のデータを使用しています
36,市立南白糸台小学校,東京都府中市白糸台6-48,「CC-BY（表示）」府中市のデータを使用しています
37,市立第六中学校,東京都府中市押立町1-2,「CC-BY（表示）」府中市のデータを使用しています
38,押立文化センター,東京都府中市押立町5-4,「CC-BY（表示）」府中市のデータを使用しています
39,市立第十中学校,東京都府中市西府町4-21,「CC-BY（表示）」府中市のデータを使用しています
40,市立本宿小学校,東京都府中市本宿町4-19,「CC-BY（表示）」府中市のデータを使用しています
41,市立日新小学校,東京都府中市日新町5-22,「CC-BY（表示）」府中市のデータを使用しています
42,浅間町会館,東京都府中市浅間町4-8,「CC-BY（表示）」府中市のデータを使用しています
43,市立小柳小学校,東京都府中市小柳町3-21,「CC-BY（表示）」府中市のデータを使用しています
44,光明府中南保育園,東京都府中市本町2-29,「CC-BY（表示）」府中市のデータを使用しています
45,市立心身障害者福祉センター,東京都府中市南町5-38,「CC-BY（表示）」府中市のデータを使用しています
46,市立栄町体育館,東京都府中市栄町1-1,「CC-BY（表示）」府中市のデータを使用しています
47,片町文化センタ－,東京都府中市片町2-17,「CC-BY（表示）」府中市のデータを使用しています
48,美好町三丁目公会堂,東京都府中市美好町3-41,「CC-BY（表示）」府中市のデータを使用しています
49,府中天神町幼稚園,東京都府中市天神町1-20,「CC-BY（表示）」府中市のデータを使用しています
50,都営府中朝日町二丁目アパート集会室,東京都府中市朝日町2-3-1,「CC-BY（表示）」府中市のデータを使用しています
