投票区番号,住所,施設名,ライセンス
1,東京都府中市四谷1-2827 市立第八中学校,市立第八中学校,「CC-BY（表示）」府中市のデータを使用しています
2,東京都府中市四谷2-75 四谷文化センタ－,四谷文化センタ－,「CC-BY（表示）」府中市のデータを使用しています
3,東京都府中市西府町1-60 西府文化センタ－,西府文化センタ－,「CC-BY（表示）」府中市のデータを使用しています
4,東京都府中市北山町2-23 市立第七小学校,市立第七小学校,「CC-BY（表示）」府中市のデータを使用しています
5,東京都府中市武蔵台3-9 千春保育園,千春保育園,「CC-BY（表示）」府中市のデータを使用しています
6,東京都府中市武蔵台2-2 武蔵台文化センタ－,武蔵台文化センタ－,「CC-BY（表示）」府中市のデータを使用しています
7,東京都府中市美好町2-13 市立第四中学校,市立第四中学校,「CC-BY（表示）」府中市のデータを使用しています
8,東京都府中市本町4-16 市立第三中学校,市立第三中学校,「CC-BY（表示）」府中市のデータを使用しています
9,東京都府中市住吉町1-61 住吉文化センタ－,住吉文化センタ－,「CC-BY（表示）」府中市のデータを使用しています
10,東京都府中市住吉町2-30 市立住吉小学校,市立住吉小学校,「CC-BY（表示）」府中市のデータを使用しています
11,東京都府中市南町3-6 市立南町小学校,市立南町小学校,「CC-BY（表示）」府中市のデータを使用しています
12,東京都府中市片町3-5 市立第三小学校,市立第三小学校,「CC-BY（表示）」府中市のデータを使用しています
13,東京都府中市日鋼町1-3 日鋼団地集会所,日鋼団地集会所,「CC-BY（表示）」府中市のデータを使用しています
14,東京都府中市栄町3-7 市立第九小学校,市立第九小学校,「CC-BY（表示）」府中市のデータを使用しています
15,東京都府中市晴見町1-28 府中グリーンハイツ集会所,府中グリーンハイツ集会所,「CC-BY（表示）」府中市のデータを使用しています
16,東京都府中市寿町2-6 市立第一小学校,市立第一小学校,「CC-BY（表示）」府中市のデータを使用しています
17,東京都府中市宮西町2-24 府中市役所,府中市役所,「CC-BY（表示）」府中市のデータを使用しています
18,東京都府中市矢崎町4-9 市立矢崎小学校,市立矢崎小学校,「CC-BY（表示）」府中市のデータを使用しています
19,東京都府中市府中町2-25 中央文化センター,中央文化センター,「CC-BY（表示）」府中市のデータを使用しています
20,東京都府中市幸町1-22 市立第一中学校,市立第一中学校,「CC-BY（表示）」府中市のデータを使用しています
21,東京都府中市新町1-25 市立新町小学校,市立新町小学校,「CC-BY（表示）」府中市のデータを使用しています
22,東京都府中市新町2-44 市立第五中学校,市立第五中学校,「CC-BY（表示）」府中市のデータを使用しています
