投票区番号,住所,施設名
1,東京都八王子市元横山町二丁目14番3号 市立第一小学校,市立第一小学校
2,東京都八王子市八木町7番1号 市立第二小学校,市立第二小学校
3,東京都八王子市寺町29番地15 市立第三小学校,市立第三小学校
4,東京都八王子市明神町二丁目15番1号 市立第四小学校,市立第四小学校
5,東京都八王子市千人町三丁目7番7号 市立第五小学校,市立第五小学校
6,東京都八王子市子安町二丁目18番1号 市立いずみの森義務教育学校,市立いずみの森義務教育学校
7,東京都八王子市台町四丁目2番1号 市立第七小学校,市立第七小学校
8,東京都八王子市中野上町二丁目14番1号 市立第九小学校,市立第九小学校
9,東京都八王子市大和田町七丁目5番1号 市立第十小学校,市立第十小学校
10,東京都八王子市中野山王三丁目1番1号 市立中野北小学校,市立中野北小学校
11,東京都八王子市大和田町四丁目19番1号 市立大和田小学校,市立大和田小学校
12,東京都八王子市散田町二丁目2番1号 市立第七中学校,市立第七中学校
13,東京都八王子市中野町2726番地7 八王子市中野市民センター,八王子市中野市民センター
14,東京都八王子市元本郷町三丁目24番1号 八王子市役所,八王子市役所
15,東京都八王子市上野町97番地 市立第六中学校,市立第六中学校
16,東京都八王子市東浅川町120番地 旧陵南会館,旧陵南会館
17,東京都八王子市高尾町1652番地1 八王子市役所浅川事務所,八王子市役所浅川事務所
18,東京都八王子市高尾町2435番地3 八王子市高尾599ミュージアム,八王子市高尾599ミュージアム
19,東京都八王子市裏高尾町915番地 高尾梅の郷まちの広場管理棟,高尾梅の郷まちの広場管理棟
20,東京都八王子市初沢町1335番地 市立浅川小学校,市立浅川小学校
21,東京都八王子市東浅川町553番地9 市立陵南中学校,市立陵南中学校
22,東京都八王子市下柚木二丁目10番地6 八王子市役所由木事務所,八王子市役所由木事務所
23,東京都八王子市上柚木538番地1 市立由木西小学校,市立由木西小学校
24,東京都八王子市南陽台二丁目9番14号 南陽台自治会館,南陽台自治会館
25,東京都八王子市松が谷23番地 市立松が谷中学校,市立松が谷中学校
27,東京都八王子市鹿島111番地1 八王子市由木東市民センター,八王子市由木東市民センター
28,東京都八王子市別所二丁目28番地 市立別所中学校,市立別所中学校
29,東京都八王子市松木57番地3 市立松木小学校,市立松木小学校
30,東京都八王子市南大沢三丁目3番地 市立柏木小学校,市立柏木小学校
31,東京都八王子市南大沢五丁目5番地 市立宮上中学校,市立宮上中学校
32,東京都八王子市鑓水二丁目74番地 市立鑓水小学校,市立鑓水小学校
33,東京都八王子市鑓水1027番地1 鑓水公会堂,鑓水公会堂
34,東京都八王子市南大沢四丁目18番地 市立南大沢小学校,市立南大沢小学校
35,東京都八王子市別所一丁目55番地 市立長池小学校,市立長池小学校
36,東京都八王子市並木町15番15号 八王子市役所横山事務所,八王子市役所横山事務所
37,東京都八王子市散田町三丁目21番19号 散田東町会館,散田東町会館
38,東京都八王子市山田町1662番地11 八王子市山田会館,八王子市山田会館
39,東京都八王子市長房町340番地4 市立長房小学校,市立長房小学校
40,東京都八王子市めじろ台四丁目12番地1 めじろ台会館,めじろ台会館
41,東京都八王子市散田町五丁目22番36号 市立横山中学校,市立横山中学校
42,東京都八王子市長房町1041番地2 市立船田小学校,市立船田小学校
43,東京都八王子市長房町588番地都営長房アパート西1号棟1階 八王子市長房ふれあい館,八王子市長房ふれあい館
44,東京都八王子市館町156番地 八王子市役所館事務所,八王子市役所館事務所
45,東京都八王子市寺田町405番地5 市立緑が丘小学校,市立緑が丘小学校
46,東京都八王子市大船町232番地 大船町会館,大船町会館
47,東京都八王子市館町2786番地 市立館小中学校分校舎,市立館小中学校分校舎
48,東京都八王子市椚田町571番地2 市立椚田小学校,市立椚田小学校
49,東京都八王子市上壱分方町747番地1 元八王子市民センター,元八王子市民センター
50,東京都八王子市大楽寺町419番地1 八王子市役所元八王子事務所,八王子市役所元八王子事務所
51,東京都八王子市横川町559番地2 八王子市横川会館,八王子市横川会館
52,東京都八王子市元八王子町二丁目1767番地 市立城山小学校,市立城山小学校
53,東京都八王子市叶谷町1521番地 市立元八王子東小学校,市立元八王子東小学校
54,東京都八王子市横川町305番地 市立横川小学校,市立横川小学校
55,東京都八王子市川町55番地 高尾の森わくわくビレッジ,高尾の森わくわくビレッジ
56,東京都八王子市下恩方町3395番地 八王子市役所恩方事務所,八王子市役所恩方事務所
