投票区番号, 住所, 施設名
20, 上の原一丁目・二丁目, グリーンヒルズ2号棟集会所
14, 学園町一丁目・二丁目, 南中学校
18, 金山町一丁目・二丁目10番～20番, 金山学童保育所（第六小学校敷地内）
19, 二丁目1番～9番, 神宝小学校
17, 小山一丁目, 成美教育文化会館
8, 二丁目　四丁目1番～4番　五丁目1番～2番, 久留米中学校
7, 三丁目　四丁目5番～8番　五丁目3番～12番, 小山小学校
10, 幸町一丁目・三丁目, 第三小学校
8, 二丁目・五丁目, 久留米中学校
9, 四丁目, 第一小学校
6, 下里一丁目・七丁目, 本村小学校
3, 二丁目, 第七小学校
2, 三丁目・四丁目・五丁目・六丁目, 旧下里小学校
16, 新川町一丁目・二丁目, 第二小学校
19, 神宝町一丁目　二丁目1番～9番・13番, 神宝小学校
20, 二丁目10番～11番・14番, グリーンヒルズ2号棟集会所
15, 浅間町一丁目・二丁目・三丁目, 浅間地区センター
16, 大門町一丁目, 第二小学校
19, 二丁目, 神宝小学校
4, 滝山一丁目・二丁目・六丁目1番　七丁目1番～20番, 西中学校
5, 三丁目・四丁目, 第九小学校
3, 五丁目・六丁目2番～3番　七丁目21番～26番, 第七小学校
10, 中央町一丁目・二丁目, 第三小学校
9, 三丁目1番～22番　五丁目・六丁目, 第一小学校
13, 三丁目23番～28番　四丁目, 第五小学校
8, 野火止一丁目　二丁目1番～11番・13番・19番・21番, 久留米中学校
7, 二丁目12番・14番～18番・20番・22番～24番, 小山小学校
6, 三丁目, 本村小学校
8, 八幡町一丁目1番・6番～9番, 久留米中学校
6, 一丁目2番～5番, 本村小学校
9, 二丁目　三丁目1番・12番～16番, 第一小学校
4, 三丁目2番～11番, 西中学校
17, 東本町全域, 成美教育文化会館
17, 氷川台一丁目・二丁目7番～31番, 成美教育文化会館
18, 二丁目1番～6番・32番～40番, 金山学童保育所
13, ひばりが丘団地全域, 第五小学校
11, 本町一丁目・二丁目2番～13番, 東久留米市役所
None, 三丁目・四丁目, 
17, 二丁目1番・14番, 成美教育文化会館
9, 前沢一丁目, 第一小学校
12, 二丁目・三丁目, 南町小学校
4, 四丁目, 西中学校
5, 五丁目, 第九小学校
14, 南沢一丁目・二丁目, 南中学校
13, 三丁目・四丁目・五丁目, 第五小学校
12, 南町一丁目・二丁目・三丁目・四丁目, 南町小学校
1, 柳窪一丁目1番～8番・10番, 第十小学校
None, 二丁目・三丁目・四丁目・五丁目, 
2, 一丁目9番, 旧下里小学校
5, 弥生一丁目・二丁目, 第九小学校
