投票区番号,住所,施設名
1,東京都日野市石田430 日野第四小学校,日野第四小学校
2,東京都日野市日野本町7-7-7 日野第一中学校,日野第一中学校
3,東京都日野市日野本町2-14-1 日野第一小学校,日野第一小学校
4,東京都日野市新町3-24-1 東光寺小学校,東光寺小学校
5,東京都日野市日野台4-17 日野台地区センター,日野台地区センター
6,東京都日野市日野台2-1-1 日野第三小学校,日野第三小学校
7,東京都日野市多摩平4-5-2 日野第二中学校,日野第二中学校
8,東京都日野市東豊田2-14-1 豊田小学校,豊田小学校
9,東京都日野市三沢200 日野第八小学校,日野第八小学校
10,東京都日野市程久保1-14-2 夢が丘小学校,夢が丘小学校
11,東京都日野市南平6-7-1 七生中学校,七生中学校
12,東京都日野市平山4-8-6 平山小学校,平山小学校
13,東京都日野市百草896-1 七生緑小学校,七生緑小学校
14,東京都日野市多摩平6-21-1 日野第五小学校,日野第五小学校
15,東京都日野市多摩平3-21 日野第六小学校,日野第六小学校
16,東京都日野市旭が丘5-21-1 旭が丘小学校,旭が丘小学校
17,東京都日野市南平4-23-1 南平体育館,南平体育館
18,東京都日野市高幡402 潤徳小学校,潤徳小学校
19,東京都日野市百草999 もぐさだい児童館,もぐさだい児童館
20,東京都日野市程久保650 高幡台団地第一集会所（74号棟）,高幡台団地第一集会所（74号棟）
21,東京都日野市旭が丘2-42 日野第四中学校,日野第四中学校
22,東京都日野市西平山2-3-1 滝合小学校,滝合小学校
23,東京都日野市神明3-2 日野第七小学校,日野第七小学校
24,東京都日野市大坂上4-17-1 大坂上中学校,大坂上中学校
25,東京都日野市落川819 落川都営住宅地区センター,落川都営住宅地区センター
26,東京都日野市程久保2-7-2 第二武蔵野台地区センター,第二武蔵野台地区センター
27,東京都日野市平山3-26-3 ひらやま児童館,ひらやま児童館
28,東京都日野市石田2-4-6 新井地区センター,新井地区センター
29,東京都日野市南平1-28-13 鹿島台地区センター,鹿島台地区センター
30,東京都日野市川辺堀之内190番地先 上田地区センター,上田地区センター
31,東京都日野市豊田2-11-2 豊田南地区センター,豊田南地区センター
