投票区番号,住所,施設名
1,東京都稲城市東長沼956 第一小学校,第一小学校
2,東京都稲城市百村23 第一中学校,第一中学校
3,東京都稲城市大丸607-2 都営稲城アパート17号棟,発達支援センター分室（レスポーいなぎ大丸）
4,東京都稲城市坂浜590 第二小学校,第二小学校
5,東京都稲城市押立1250 第四小学校,第四小学校
6,東京都稲城市押立1768 第四中学校,第四中学校
7,東京都稲城市平尾3-1-3 平尾小学校,平尾小学校
8,東京都稲城市大丸251 大丸地区会館,大丸地区会館
9,東京都稲城市平尾1-9-1 ふれんど平尾,ふれんど平尾
10,東京都稲城市矢野口1901-2 第七小学校,第七小学校
11,東京都稲城市向陽台3-2 向陽台小学校,向陽台小学校
12,東京都稲城市平尾3-7-1 平尾自治会館,平尾自治会館
13,東京都稲城市向陽台6-17 城山小学校,城山小学校
14,東京都稲城市長峰2-8 長峰小学校,長峰小学校
15,東京都稲城市若葉台4-5 若葉台小学校,若葉台小学校
16,東京都稲城市矢野口3043 第三中学校,第三中学校
17,東京都稲城市若葉台3-11 第六中学校,第六中学校
