投票区番号,住所,施設名
1,東京都清瀬市旭が丘二丁目8番1号 市立清明小学校,市立清明小学校
2,東京都清瀬市下宿二丁目524番地の1 市立下宿地域市民センター,市立下宿地域市民センター
3,東京都清瀬市中里五丁目842番地 清瀬市役所,清瀬市役所
4,東京都清瀬市元町一丁目2番11号 清瀬市生涯学習センター,清瀬市生涯学習センター
5,東京都清瀬市松山二丁目6番25号 市立松山地域市民センター,市立松山地域市民センター
6,東京都清瀬市松山三丁目1番92号 市立清瀬第七小学校,市立清瀬第七小学校
7,東京都清瀬市竹丘一丁目11番1号 市立竹丘地域市民センター,市立竹丘地域市民センター
8,東京都清瀬市梅園二丁目9番45号 市立清瀬第六小学校,市立清瀬第六小学校
9,東京都清瀬市野塩一丁目322番地の2 市立野塩地域市民センター,市立野塩地域市民センター
10,東京都清瀬市元町二丁目16番8号 市立芝山小学校,市立芝山小学校
11,東京都清瀬市中里四丁目1301番地 市立中里地域市民センター,市立中里地域市民センター
12,東京都清瀬市中清戸三丁目258番地の1 市立清瀬第五中学校,市立清瀬第五中学校
