投票区番号,住所,施設名
1,東京都町田市鶴間4丁目17番1号 鶴間小学校,鶴間小学校
2,東京都町田市南町田1丁目10番1号 南第一小学校,南第一小学校
3,東京都町田市金森3丁目27番1号 南中学校,南中学校
4,東京都町田市南つくし野2丁目14番地2 つくし野中学校,つくし野中学校
5,東京都町田市つくし野2丁目21番地11 つくし野小学校,つくし野小学校
6,東京都町田市小川3丁目10番地1 小川小学校,小川小学校
7,東京都町田市金森東3丁目21番1号 南第四小学校,南第四小学校
8,東京都町田市南成瀬3丁目6番地 南成瀬小学校,南成瀬小学校
9,東京都町田市西成瀬2丁目49番1号 成瀬コミュニティセンター,成瀬コミュニティセンター
10,東京都町田市成瀬台2丁目5番地2 成瀬台小学校,成瀬台小学校
11,東京都町田市成瀬2丁目8番地 成瀬中央小学校,成瀬中央小学校
12,東京都町田市成瀬7丁目11番1号 南第二小学校,南第二小学校
13,東京都町田市高ヶ坂6丁目7番1号 高ヶ坂小学校,高ヶ坂小学校
14,東京都町田市金森東1丁目2番1号 南第三小学校,南第三小学校
15,東京都町田市原町田1丁目20番10号 原町田一丁目会館,原町田一丁目会館
16,東京都町田市原町田4丁目16番17号 町田市民文学館ことばらんど,町田市民文学館ことばらんど
17,東京都町田市原町田5丁目8番21号 町田市健康福祉会館,町田市健康福祉会館
18,東京都町田市南大谷1327番地 第二中学校,町田第二中学校
19,東京都町田市中町1丁目20番30号 町田第一小学校,町田第一小学校
20,東京都町田市森野2丁目21番28号 町田第四小学校,町田第四小学校
21,東京都町田市本町田1212番地 町田第三小学校,町田第三小学校
22,東京都町田市本町田3350番地 本町田東小学校,本町田東小学校
23,東京都町田市藤の台3丁目1番1号 藤の台小学校,藤の台小学校
24,東京都町田市本町田53番地 本町田住宅コミュニティサロン,本町田住宅コミュニティサロン
25,東京都町田市南大谷811番地1 南大谷小学校,南大谷小学校
26,東京都町田市玉川学園4丁目14番7号 町田第五小学校,町田第五小学校
27,東京都町田市東玉川学園4丁目3471番地17 玉川学園こすもす会館,玉川学園こすもす会館
28,東京都町田市金井ヶ丘1丁目30番1号 金井小学校,金井小学校
29,東京都町田市金井6丁目15番1号 金井中学校,金井中学校
30,東京都町田市能ヶ谷7丁目24番1号 鶴川第二小学校,鶴川第二小学校
31,東京都町田市三輪町330番地1 三輪小学校,三輪小学校
32,東京都町田市三輪緑山1丁目1番地 鶴見川クリーンセンター,鶴見川クリーンセンター
33,東京都町田市真光寺3丁目8番地1 真光寺中学校,真光寺中学校
34,東京都町田市鶴川3丁目22番地 鶴川第四小学校,鶴川第四小学校
35,東京都町田市鶴川6丁目5番地 鶴川第三小学校,鶴川第三小学校
36,東京都町田市大蔵町1981番地4 鶴川市民センター,鶴川市民センター
37,東京都町田市小野路町945番地 小野路公会堂,小野路公会堂
38,東京都町田市野津田町778番地1 野津田公民館,野津田公民館
39,東京都町田市山崎町1445番地 山崎中学校,山崎中学校
40,東京都町田市山崎町1314番地2 七国山小学校,七国山小学校
41,東京都町田市山崎町2200番地 山崎団地第一集会所,山崎団地第一集会所
42,東京都町田市本町田2032番地 本町田小学校,本町田小学校
43,東京都町田市山崎町2160番地4 木曽山崎コミュニティセンター,木曽山崎コミュニティセンター
44,東京都町田市木曽東3丁目11番3号 忠生第三小学校,忠生第三小学校
45,東京都町田市木曽東1丁目2番 木曽森野コミュニティセンター,木曽森野コミュニティセンター
46,東京都町田市木曽東2丁目10-2 さかいがわ会館,さかいがわ会館
47,東京都町田市忠生1丁目11番地1 子どもセンターただON,子どもセンターただON
48,東京都町田市忠生3丁目14番地2 忠生市民センター,忠生市民センター
49,東京都町田市図師町1853番地 町内会館,図師町内会館
50,東京都町田市真光寺1丁目27番地1 真光寺会館,真光寺会館
51,東京都町田市上小山田町614番地 小山田小学校,小山田小学校
52,東京都町田市小山田桜台2丁目7番地 小山田南小学校,小山田南小学校
53,東京都町田市常盤町3758番地 桜美林学園老実館,桜美林学園老実館
54,東京都町田市小山町944番地 小山小学校,小山小学校
55,東京都町田市小山町2507番地1 小山市民センター,小山市民センター
56,東京都町田市小山ヶ丘5丁目37番地 小山ヶ丘小学校,小山ヶ丘小学校
57,東京都町田市相原町795番地1 堺市民センター,堺市民センター
58,東京都町田市相原町1673番地 相原小学校,相原小学校
59,東京都町田市相原町3202番地2 武蔵岡第一集会室,武蔵岡第一集会室
60,東京都町田市成瀬が丘2丁目20番地3 成瀬が丘ふれあい会館,成瀬が丘ふれあい会館
61,東京都町田市南つくし野2丁目4番地8 南つくし野小学校,南つくし野小学校
62,東京都町田市旭町3丁目20番60号 サン町田旭体育館,サン町田旭体育館
63,東京都町田市能ヶ谷1丁目2番1号 和光大学ポプリホール鶴川,和光大学ポプリホール鶴川
64,東京都町田市小野路町1905番地1 鶴川中学校,鶴川中学校
65,東京都町田市金井5丁目20番3号 金井クラブ,金井クラブ
66,東京都町田市鶴間6丁目8番37号 鶴間会館,鶴間会館
67,東京都町田市広袴4丁目4番地3 広袴会館,広袴会館
