投票区番号,住所,施設名
1,東京都青梅市天ヶ瀬町1111番地の1 天ヶ瀬体育館,天ヶ瀬体育館
2,東京都青梅市本町223番地 第一小学校体育館,第一小学校体育館
3,東京都青梅市東青梅1丁目11番地の1 青梅市役所,青梅市役所
4,東京都青梅市大門2丁目288番地 大門市民センター体育館,大門市民センター体育館
5,東京都青梅市新町4丁目17番地の1 新町市民センター体育館,新町市民センター体育館
6,東京都青梅市今井2丁目908番地の1 今井市民センター体育館,今井市民センター体育館
7,東京都青梅市千ヶ瀬町3丁目389番地 千ヶ瀬町自治会館,千ヶ瀬町自治会館
8,東京都青梅市河辺町5丁目24番地 河辺小学校体育館,河辺小学校体育館
9,東京都青梅市友田町4丁目206番地 友田町自治会館,友田町自治会館
10,東京都青梅市長淵6丁目492番地の1 長淵市民センター体育館,長淵市民センター体育館
11,東京都青梅市駒木町1丁目2番地の1 駒木町会館,駒木町会館
12,東京都青梅市日向和田2丁目371番地の1 日向和田2丁目自治会館,日向和田2丁目自治会館
13,東京都青梅市畑中2丁目591番地の1 畑中公会堂,畑中公会堂
14,東京都青梅市梅郷3丁目749番地の1 梅郷市民センター体育館,梅郷市民センター体育館
15,東京都青梅市柚木町2丁目312番地の4 柚木生産森林組合事務所,柚木生産森林組合事務所
16,東京都青梅市二俣尾3丁目903番地の1 第六小学校,第六小学校
17,東京都青梅市二俣尾5丁目1614番地 二俣尾5丁目第2自治会館,二俣尾5丁目第2自治会館
18,東京都青梅市沢井2丁目682番地 沢井市民センター,沢井市民センター
19,東京都青梅市御岳2丁目297番地 御岳会館,御岳会館
20,東京都青梅市御岳山38番地の2 御岳山ふれあいセンター,御岳山ふれあいセンター
21,東京都青梅市富岡1丁目93番地 富岡1丁目自治会館,富岡1丁目自治会館
22,東京都青梅市小曾木3丁目1656番地の1 小曾木市民センター体育館,小曾木市民センター体育館
23,東京都青梅市黒沢2丁目783番地の1 黒沢2丁目第1自治会館,黒沢2丁目第1自治会館
24,東京都青梅市成木2丁目311番地の1 成木2丁目公会堂,成木2丁目公会堂
25,東京都青梅市成木4丁目644番地 成木市民センター,成木市民センター
26,東京都青梅市成木7丁目1204番地の5 成木7丁目自治会館,成木7丁目自治会館
27,東京都青梅市東青梅6丁目1番地の1 第四小学校体育館,第四小学校体育館
28,東京都青梅市新町8丁目5番地の5 新町7・8・9丁目自治会館,新町7・8・9丁目自治会館
29,東京都青梅市新町1丁目35番地の1 霞台小学校体育館,霞台小学校体育館
30,東京都青梅市新町1丁目15番地の1 若草小学校体育館,若草小学校体育館
31,東京都青梅市師岡町3丁目9番地の6 東青梅市民センター体育館,東青梅市民センター体育館
32,東京都青梅市藤橋3丁目13番地の1 藤橋小学校体育館,藤橋小学校体育館
33,東京都青梅市新町5丁目21番地の1 新町小学校体育館,新町小学校体育館
34,東京都青梅市河辺町10丁目16番地の12 河辺北会館,河辺北会館
