投票区番号,住所,施設名
1,東京都立川市 第四小学校,第四小学校
2,東京都立川市 第一小学校,第一小学校
3,東京都立川市 東京都立立川高等学校,東京都立立川高等学校
4,東京都立川市 第三小学校,第三小学校
5,東京都立川市 第六小学校,第六小学校
6,東京都立川市 第二小学校,第二小学校
7,"東京都立川市 曙町2丁目1～10,18,19,29～","曙町2丁目1～10,18,19,29～"
8,東京都立川市 第五小学校,第五小学校
9,東京都立川市 栄町4丁目の全部,栄町4丁目の全部
10,"東京都立川市 栄町6丁目1,4,7～","栄町6丁目1,4,7～"
11,東京都立川市 第十小学校,第十小学校
12,"東京都立川市 砂川町2丁目の全部上砂町1,2丁目の全部","砂川町2丁目の全部上砂町1,2丁目の全部"
13,東京都立川市 西砂小学校,西砂小学校
14,東京都立川市 若葉台小学校,若葉台小学校
15,東京都立川市 新生小学校,新生小学校
16,東京都立川市 南砂小学校,南砂小学校
17,東京都立川市 立川第九中学校,立川第九中学校
18,東京都立川市 幸小学校,幸小学校
19,"東京都立川市 一番町3,5,6丁目の全部","一番町3,5,6丁目の全部"
20,東京都立川市 こんぴら橋会館,こんぴら橋会館
21,"東京都立川市 砂川町5,6丁目の全部","砂川町5,6丁目の全部"
22,東京都立川市 上砂川小学校,上砂川小学校
23,"東京都立川市 一番町2丁目1～13,一番町4丁目1～16","一番町2丁目1～13,一番町4丁目1～16"
24,東京都立川市 西砂町6丁目のうち次以外,西砂町6丁目のうち次以外
25,東京都立川市 第七小学校,第七小学校
26,東京都立川市 泉町のうち次以外,泉町のうち次以外
